Qt Palavras,sem split,split,-,word,frequency-split,frequency-no-split,,split,no-split,Degree 84w,Custom words [split],Degree [split],Custom words [no-split],Degree [no-split],Concordance [split],Concordance [no-split]
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,15,Moderate-Low,15,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,17,Moderate-Low,17,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,17,Low,18,Low,TRUE,TRUE
,,,,,,,,,,Low,21,Moderate-Low,21,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,23,Low,23,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,17,Moderate-Low,17,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,23,Low,23,Low,TRUE,TRUE
